Sample,Original_Nodes,Reconstructed_Nodes,Node_Diff,Perfect_Preservation,Embedding_Dim
4156,13,13,0,True,64
4163,12,12,0,True,64
4197,54,54,0,True,64
4220,70,70,0,True,64
4224,59,59,0,True,64
4241,12,12,0,True,64
4244,16,16,0,True,64
4248,39,39,0,True,64
4273,25,25,0,True,64
4283,10,10,0,True,64
4291,72,72,0,True,64
4331,11,11,0,True,64
4340,56,56,0,True,64
4351,28,28,0,True,64
4366,12,12,0,True,64
4383,53,53,0,True,64
4387,22,22,0,True,64
4391,49,49,0,True,64
4396,23,23,0,True,64
4412,63,63,0,True,64
4426,137,137,0,True,64
4428,36,36,0,True,64
4458,25,25,0,True,64
4463,87,87,0,True,64
4468,25,25,0,True,64
4480,12,12,0,True,64
4490,38,38,0,True,64
4527,14,14,0,True,64
4546,25,25,0,True,64
4551,19,19,0,True,64
4553,25,25,0,True,64
4572,47,47,0,True,64
4582,25,25,0,True,64
4595,25,25,0,True,64
4598,25,25,0,True,64
4606,16,16,0,True,64
4616,79,79,0,True,64
4691,27,27,0,True,64
4693,8,8,0,True,64
4707,41,41,0,True,64
4718,38,38,0,True,64
4733,57,57,0,True,64
4747,25,25,0,True,64
4749,20,20,0,True,64
4768,36,36,0,True,64
4769,88,88,0,True,64
4782,22,22,0,True,64
4787,123,123,0,True,64
4799,22,22,0,True,64
4808,23,23,0,True,64
4820,25,25,0,True,64
4848,56,56,0,True,64
4860,44,44,0,True,64
4864,77,77,0,True,64
4869,33,33,0,True,64
4875,25,25,0,True,64
4883,61,61,0,True,64
4885,25,25,0,True,64
4899,8,8,0,True,64
4914,93,93,0,True,64
4927,55,55,0,True,64
4946,25,25,0,True,64
4966,11,11,0,True,64
4969,12,12,0,True,64
4970,43,43,0,True,64
4992,25,25,0,True,64
4993,62,62,0,True,64
5018,39,39,0,True,64
5021,63,63,0,True,64
5030,12,12,0,True,64
5033,25,25,0,True,64
5037,57,57,0,True,64
5069,36,36,0,True,64
5071,14,14,0,True,64
5083,26,26,0,True,64
5088,22,22,0,True,64
5105,70,70,0,True,64
5119,12,12,0,True,64
5124,22,22,0,True,64
5133,13,13,0,True,64
5156,78,78,0,True,64
5161,25,25,0,True,64
5163,21,21,0,True,64
5164,66,66,0,True,64
5180,23,23,0,True,64
5212,25,25,0,True,64
5222,24,24,0,True,64
5231,13,13,0,True,64
5248,22,22,0,True,64
5262,12,12,0,True,64
5265,25,25,0,True,64
5284,73,73,0,True,64
5285,56,56,0,True,64
5294,16,16,0,True,64
5308,25,25,0,True,64
5319,17,17,0,True,64
5322,23,23,0,True,64
5393,94,94,0,True,64
5431,31,31,0,True,64
5459,67,67,0,True,64
5472,24,24,0,True,64
5474,14,14,0,True,64
5491,28,28,0,True,64
5494,24,24,0,True,64
5497,25,25,0,True,64
5505,54,54,0,True,64
5508,42,42,0,True,64
5519,66,66,0,True,64
5521,166,166,0,True,64
5525,42,42,0,True,64
5528,22,22,0,True,64
5548,14,14,0,True,64
5583,67,67,0,True,64
5591,129,129,0,True,64
5592,23,23,0,True,64
5601,60,60,0,True,64
5604,96,96,0,True,64
5630,24,24,0,True,64
5658,25,25,0,True,64
5674,30,30,0,True,64
5697,22,22,0,True,64
5703,17,17,0,True,64
5727,15,15,0,True,64
